page,domain,url
1,alison.legislature.state.al.us,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB168-enr.pdf
1,alison.legislature.state.al.us,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB172-enr.pdf
1,alison.legislature.state.al.us,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB351-enr.pdf
1,azleg.gov,https://www.azleg.gov/legtext/56leg/2R/laws/0193.pdf
1,azleg.gov,https://www.azleg.gov/legtext/56leg/2R/laws/0199.pdf
2,arkleg.state.ar.us,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT927.pdf
2,arkleg.state.ar.us,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT977.pdf
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB926
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB981
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2885
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=11546.45.5.
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?chapter=7.5.&part=1.&lawCode=PEN&title=9
2,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=7.&title=&part=3.&chapter=6.&article
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1836
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2355
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2602
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2655
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2905
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB1120
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB3030
3,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billVersionsCompareClient.xhtml?bill_id=202320240SB896
4,calcivilrights.ca.gov,https://calcivilrights.ca.gov/wp-content/uploads/sites/32/2025/03/Attachment-B-Final-Unmodified-Text-of-Proposed-Employment-Regulations-Regarding-Automated-Decision-Systems.pdf
4,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB316
4,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2013
4,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB489
4,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB243
4,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53
5,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB723
5,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB524
5,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB325
5,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB361
6,cppa.ca.gov,https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf
6,leginfo.legislature.ca.gov,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=
7,leg.colorado.gov,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf
8,leg.colorado.gov,https://leg.colorado.gov/bill_files/116489/download
9,cga.ct.gov,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB01103&which_year=2023
9,cga.ct.gov,https://www.cga.ct.gov/current/pub/chap_244c.htm
10,delcode.delaware.gov,https://delcode.delaware.gov/title6/c012d/index.html
10,laws.flrules.org,https://laws.flrules.org/2023/201
10,legis.delaware.gov,https://legis.delaware.gov/BillDetail/140866
10,legis.delaware.gov,https://legis.delaware.gov/BillDetail/141103
10,cga.ct.gov,https://www.cga.ct.gov/2025/ACT/PA/PDF/2025PA-00113-R00SB-01295-PA.PDF
10,cga.ct.gov,https://www.cga.ct.gov/current/pub/chap_743jj.htm
11,data.capitol.hawaii.gov,https://data.capitol.hawaii.gov/sessions/session2021/Bills/SB309_SD1_.HTM
11,data.capitol.hawaii.gov,https://data.capitol.hawaii.gov/sessions/session2024/bills/SB2687_CD1_.pdf
11,legislature.idaho.gov,https://legislature.idaho.gov/statutesrules/idstat/Title5/T5CH3/SECT5-346/
11,flsenate.gov,https://www.flsenate.gov/Session/Bill/2024/1680/ByVersion
11,legis.ga.gov,https://www.legis.ga.gov/api/legislation/document/20132014/143392
11,legis.ga.gov,https://www.legis.ga.gov/api/legislation/document/20232024/223269
12,legislature.idaho.gov,https://legislature.idaho.gov/statutesrules/idstat/title18/t18ch66/sect18-6606/
12,legislature.idaho.gov,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2026/legislation/S1227.pdf
12,ilga.gov,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4015&ChapterID=68
13,iga.in.gov,https://iga.in.gov/legislative/2024/bills/house/1047/details
13,ilga.gov,https://ilga.gov/Legislation/BillStatus/FullText?LegDocId=185601&DocName=10300HB3773enr&DocNum=3773&DocTypeID=HB&LegID=149031&GAID=17&SessionID=112&SpecSess=&Session=
13,ilga.gov,https://ilga.gov/legislation/publicacts/fulltext.asp?Name=103-0830
13,ilga.gov,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf
13,ilga.gov,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=4875&GAID=17&DocTypeID=HB&LegId=152734&SessionID=112&GA=103
14,iga.in.gov,https://iga.in.gov/ic/2024/Title_24/Article_15.pdf
14,iga.in.gov,https://iga.in.gov/pdf-documents/124/2026/house/bills/HB1271/HB1271.07.ENRS.pdf
14,iga.in.gov,https://iga.in.gov/pdf-documents/124/2026/senate/bills/SB0256/SB0256.06.ENRH.pdf
14,legis.iowa.gov,https://www.legis.iowa.gov/docs/code/2025/708.7.pdf
14,legis.iowa.gov,https://www.legis.iowa.gov/docs/code/2025/728.12.pdf
15,apps.legislature.ky.gov,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf
15,kslegislature.gov,https://kslegislature.gov/li/b2025_26/measures/documents/hb2313_enrolled.pdf
16,apps.legislature.ky.gov,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39092
16,apps.legislature.ky.gov,https://apps.legislature.ky.gov/record/25rs/sb4.html
16,legis.la.gov,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325
16,legis.la.gov,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1379408
17,legislature.maine.gov,https://legislature.maine.gov/bills/getPDF.asp?paper=HP1154&item=3&snum=132
18,mgaleg.maryland.gov,https://mgaleg.maryland.gov/2024RS/bills/hb/hb0567E.pdf
18,mgaleg.maryland.gov,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_747_hb0820t.pdf
18,mgaleg.maryland.gov,https://mgaleg.maryland.gov/2026RS/Chapters_noln/CH_634_sb0720e.pdf
19,malegislature.gov,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter118
19,mgaleg.maryland.gov,https://mgaleg.maryland.gov/2026RS/bills/hb/hb0895e.pdf
19,legislature.mi.gov,https://www.legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0263.htm
19,legislature.mi.gov,https://www.legislature.mi.gov/documents/2023-2024/publicact/pdf/2023-PA-0265.pdf
19,revisor.mn.gov,https://www.revisor.mn.gov/bills/bill.php?b=house&f=hf1370&ssn=0&y=2023
19,revisor.mn.gov,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=Senate&f=SF4097&ssn=0&y=2023
20,archive.legmt.gov,https://archive.legmt.gov/bills/mca/title_0300/chapter_0140/part_0280/sections_index.html
20,revisor.mo.gov,https://revisor.mo.gov/main/OneSection.aspx?section=573.010&bid=51065
20,revisor.mn.gov,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=House&f=HF2432&ssn=0&y=2025
21,docs.legmt.gov,https://docs.legmt.gov/download-ticket?ticketId=79409647-ee8e-4eda-aceb-c7e125083fda
21,docs.legmt.gov,https://docs.legmt.gov/download-ticket?ticketId=907ba0c7-2666-4edc-938e-7f66bf3de5cb
21,docs.legmt.gov,https://docs.legmt.gov/download-ticket?ticketId=a64e8bac-75d1-42b8-a672-82870e842ab0
21,nebraskalegislature.gov,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB1074.pdf
22,nebraskalegislature.gov,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB383.pdf
23,gc.nh.gov,https://gc.nh.gov/bill_status/pdf.aspx?id=17004&q=billVersion
23,gc.nh.gov,https://gc.nh.gov/rsa/html/NHTOC/NHTOC-LII-507-H.htm
24,legistar.council.nyc.gov,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4344524&GUID=B051915D-A9AC-451E-81F8-6596032FA3F9&Options=ID%7cText%7c&Search=
24,lis.njleg.state.nj.us,https://lis.njleg.state.nj.us/nxt/gateway.dll/statutes/1/53958/54710?f=templates&fn=default.htm&vid=Publish:10.1048/Enu
24,pub.njleg.state.nj.us,https://pub.njleg.state.nj.us/Bills/2022/PL23/266_.PDF
24,pub.njleg.state.nj.us,https://pub.njleg.state.nj.us/Bills/2024/A4000/3540_R3.PDF
24,njoag.gov,https://www.njoag.gov/wp-content/uploads/2025/12/N.J.A.C.-13-16-Disparate-Impact-Discrimination.pdf
24,nmlegis.gov,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legtype=B&legno=182&year=24
24,nysenate.gov,https://www.nysenate.gov/legislation/bills/2023/S1042/amendment/A
24,nysenate.gov,https://www.nysenate.gov/legislation/laws/ELN/14-106
25,legislation.nysenate.gov,https://legislation.nysenate.gov/pdf/bills/2023/S9832
25,nysenate.gov,https://www.nysenate.gov/legislation/bills/2023/S7543/amendment/B
25,nysenate.gov,https://www.nysenate.gov/legislation/laws/CVR/50
25,nysenate.gov,https://www.nysenate.gov/legislation/laws/GBS/349-A
25,nysenate.gov,https://www.nysenate.gov/legislation/laws/GBS/A47
25,nysenate.gov,https://www.nysenate.gov/legislation/laws/GOB/5-302
25,nysenate.gov,https://www.nysenate.gov/legislation/laws/STT/-CH57-A
26,nysenate.gov,https://www.nysenate.gov/legislation/bills/2025/S8391
26,nysenate.gov,https://www.nysenate.gov/legislation/bills/2025/S8420/amendment/A
26,nysenate.gov,https://www.nysenate.gov/legislation/laws/GBS/340-B
27,legislation.nysenate.gov,https://legislation.nysenate.gov/pdf/bills/2025/S8828
27,ndlegis.gov,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0908-04000.pdf
27,ndlegis.gov,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1307-04000.pdf
27,ncleg.gov,https://www.ncleg.gov/BillLookup/2023/H591
28,ndlegis.gov,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0034-05000.pdf
28,ndlegis.gov,https://ndlegis.gov/assembly/69-2025/regular/documents/25-0529-05000.pdf
28,ndlegis.gov,https://ndlegis.gov/assembly/69-2025/regular/documents/25-1064-05000.pdf
28,olis.oregonlegislature.gov,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/SB1571
28,oklegislature.gov,https://www.oklegislature.gov/BillInfo.aspx?Bill=hb3642&Session=2400
28,oklegislature.gov,https://www.oklegislature.gov/cf_pdf/2025-26%20ENR/SB/SB546%20ENR.PDF
28,oklegislature.gov,https://www.oklegislature.gov/cf_pdf/2025-26%20ENR/hB/HB1364%20ENR.PDF
29,olis.oregonlegislature.gov,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB619/Enrolled
30,mylrc.sdlegislature.gov,https://mylrc.sdlegislature.gov/api/Documents/284327.pdf
30,sdlegislature.gov,https://sdlegislature.gov/Session/Bill/24991
30,capitol.tn.gov,https://www.capitol.tn.gov/Bills/113/Bill/HB2091.pdf
30,capitol.tn.gov,https://www.capitol.tn.gov/Bills/113/Bill/HB2163.pdf
30,scstatehouse.gov,https://www.scstatehouse.gov/code/t40c057.php
31,capitol.texas.gov,https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=88R&Bill=HB2700
31,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00020F.pdf
31,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01188F.pdf
31,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01621F.pdf
31,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB01964F.pdf
31,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB02373F.pdf
31,statutes.capitol.texas.gov,https://statutes.capitol.texas.gov/Docs/BC/pdf/BC.541.pdf
32,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00149F.pdf
32,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00581F.pdf
32,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00441F.pdf
32,capitol.texas.gov,https://capitol.texas.gov/tlodocs/89R/billtext/pdf/SB00815F.pdf
32,le.utah.gov,https://le.utah.gov/xcode/Title13/Chapter72/C13-72_2024050120240501.pdf
32,le.utah.gov,https://le.utah.gov/~2024/bills/static/SB0149.html
33,le.utah.gov,https://le.utah.gov/Session/2025/bills/enrolled/HB0452.pdf
33,le.utah.gov,https://le.utah.gov/Session/2025/bills/enrolled/SB0180.pdf
33,le.utah.gov,https://le.utah.gov/Session/2025/bills/introduced/SB0226.pdf
33,le.utah.gov,https://le.utah.gov/~2024/bills/static/HB0148.html
33,le.utah.gov,https://le.utah.gov/~2024/bills/static/HB0238.html
33,le.utah.gov,https://le.utah.gov/~2024/bills/static/SB0131.html
34,le.utah.gov,https://le.utah.gov/Session/2026/bills/enrolled/HB0273.pdf
34,le.utah.gov,https://le.utah.gov/Session/2026/bills/enrolled/HB0276.pdf
34,le.utah.gov,https://le.utah.gov/Session/2026/bills/enrolled/SB0256.pdf
36,le.utah.gov,https://le.utah.gov/Session/2026/bills/enrolled/SB0298.pdf
36,le.utah.gov,https://le.utah.gov/Session/2026/bills/enrolled/SB0319.pdf
36,legislature.vermont.gov,https://legislature.vermont.gov/Documents/2024/Docs/ACTS/ACT161/ACT161%20As%20Enacted.pdf
36,legislature.vermont.gov,https://legislature.vermont.gov/bill/status/2022/H.0410
37,law.lis.virginia.gov,https://law.lis.virginia.gov/vacode/title32.1/chapter5/section32.1-127/
37,law.lis.virginia.gov,https://law.lis.virginia.gov/vacode/title59.1/chapter53/section59.1-577/
37,legacylis.virginia.gov,https://legacylis.virginia.gov/cgi-bin/legp604.exe?191+ful+CHAP0490+pdf
37,legacylis.virginia.gov,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+CHAP0262+pdf
37,legislature.vermont.gov,https://legislature.vermont.gov/Documents/2026/Docs/ACTS/ACT075/ACT075%20As%20Enacted.pdf
